Unit,Budget,Demand,Slot
TP Thủ Đức,242442773522,11518,2329
Quận một,29555022128,1696,284
Quận 3,39449867397,3006,379
Quận 4,36332006833,2834,349
Quận 5,32963407782,2523,317
Quận 6,48398951959,3738,465
Quận 7,74631999960,5313,717
Quận 8,88000298558,6848,845
Quận 10,48659637097,3795,467
Quận 11,43489036486,3392,418
Quận 12,128507826484,9240,1234
Quận Gò Vấp,140268290434,10316,1347
Quận Tân Bình,98387295818,7133,945
Quận Tân Phú,100574730093,7555,966
Quận Bình Thạnh,103437707732,6850,994
Quận Phú Nhuận,33976308383,2602,326
Quận Bình Tân,162497811512,11548,1561
Huyện Củ Chi,95746252824,7001,920
Huyện Hóc Môn,112364619551,6344,1079
Huyện Bình Chánh,146196701498,9878,1404
Huyện Nhà Bè,42861154158,2724,412
Huyện Cần Giờ,14821752937,680,163