Unit,Name,,Type,Value,x coordinate,y coordinate,Existing demand
Quận Tân Phú,Audi Tân Bình,180,180 kW DC,2,10.817217,106.62597,72
Quận Tân Bình,NL1,180,180 kW DC,1,10.8004852,106.6504398,36
Quận một,Trần Khánh Dư,22,22 kW AC,1,10.7946607,106.6919107,4.4
Quận một,Trần Khánh Dư,60,60 kW DC,2,10.7946607,106.6919107,24
Quận 3,Êmm Sài Gòn,22,22 kW AC,1,10.7848422,106.6906867,4.4
Quận một,Audi Hồ Chí Minh,180,180 kW DC,2,10.7808884,106.7075862,72
Quận một,Audi Hồ Chí Minh,11,11 kW AC,2,10.7808884,106.7075862,4.4
Quận 7,Audi City Phú Mỹ Hưng,160,160 kW DC,2,10.7277353,106.7019425,64
Quận 7,Audi City Phú Mỹ Hưng,22,22 kW AC,1,10.7277353,106.7019425,4.4
Huyện Bình Chánh,Bãi đỗ xe Anh Minh,11,11 Kw AC,2,10.8148999,106.528946,4.4
Huyện Bình Chánh,Bãi đỗ xe Anh Minh,60,60 kW DC,8,10.8148999,106.528946,96
Huyện Bình Chánh,Cửa hàng xăng dầu An Hạ,60,60 kW DC,2,10.812172,106.5181623,24
Huyện Bình Chánh,Bãi đỗ xe tư nhân 33 Phạm Văn Sáng,11,11 Kw AC,1,10.8343526,106.5738005,2.2
Huyện Bình Chánh,Bãi đỗ xe tư nhân 33 Phạm Văn Sáng,60,60 kW DC,4,10.8343526,106.5738005,48
Huyện Bình Chánh,Cửa hàng xăng dầu Mỹ Anh 2,180,180 kW DC,2,10.7863305,106.5203295,72
Huyện Bình Chánh,Cửa hàng xăng dầu Mỹ Anh 2,60,60 kW DC,4,10.7863305,106.5203295,48
Huyện Bình Chánh,Cửa hàng xăng dầu Petrolimex Hồ Chí Minh Số 62,180,180 kW DC,2,10.7635694,106.5744858,72
Huyện Bình Chánh,Cửa hàng xăng dầu Petrolimex Hồ Chí Minh Số 62,60,60 kW DC,2,10.7635694,106.5744858,24
Huyện Bình Chánh,Bãi đỗ xe công ty AZC 1,11,11 Kw AC,10,10.780128,106.533268,22
Huyện Bình Chánh,Bãi đỗ xe công ty AZC 1,60,60 kW DC,10,10.780128,106.533268,120
Huyện Bình Chánh,Bãi đỗ xe Hoàng Nha Coffee,11,11 Kw AC,1,10.7673901,106.5587118,2.2
Huyện Bình Chánh,Bãi đỗ xe Hoàng Nha Coffee,60,60 kW DC,2,10.7673901,106.5587118,24
Huyện Bình Chánh,Bãi đỗ xe Cường Phát,11,11 Kw AC,6,10.7903611,106.5781993,13.2
Huyện Bình Chánh,Bãi đỗ xe Cường Phát,60,60 kW DC,16,10.7903611,106.5781993,192
Huyện Bình Chánh,Bãi đỗ xe 24/24 Võ Văn Vân,60,60 kW DC,4,10.776099,106.5780894,48
Huyện Bình Chánh,Bãi đỗ xe Gara Lữ Dũng,11,11 Kw AC,4,10.7696444,106.5714087,8.8
Huyện Bình Chánh,Bãi đỗ xe Gara Lữ Dũng,60,60 kW DC,6,10.7696444,106.5714087,72
Huyện Bình Chánh,Bãi đỗ xe Thuận An Khang,11,11 Kw AC,2,10.6856801,106.5536093,4.4
Huyện Bình Chánh,Bãi đỗ xe Thuận An Khang,60,60 kW DC,8,10.6856801,106.5536093,96
Huyện Bình Chánh,Bãi đỗ xe tư nhân Hoàng Phan Thái,11,11 Kw AC,2,10.6630417,106.5672462,4.4
Huyện Bình Chánh,Bãi đỗ xe tư nhân Hoàng Phan Thái,60,60 kW DC,4,10.6630417,106.5672462,48
Huyện Bình Chánh,Trạm dừng nghỉ Bờ Nhà Thờ,11,11 Kw AC,2,10.6610149,106.5658124,4.4
Huyện Bình Chánh,Trạm dừng nghỉ Bờ Nhà Thờ,60,60 kW DC,10,10.6610149,106.5658124,120
Huyện Bình Chánh,Cửa hàng xăng dầu Tuyết Anh 2,60,60 kW DC,4,10.7137362,106.5509702,48
Huyện Bình Chánh,Bãi đỗ xe KDC Tân Túc,11,11 Kw AC,4,10.6844901,106.5731392,8.8
Huyện Bình Chánh,Bãi đỗ xe KDC Tân Túc,60,60 kW DC,2,10.6844901,106.5731392,24
Huyện Bình Chánh,Gara Thành Công,11,11 Kw AC,4,10.7215579,106.6626095,8.8
Huyện Bình Chánh,Gara Thành Công,60,60 kW DC,2,10.7215579,106.6626095,24
Huyện Bình Chánh,Bãi đỗ xe Ngoài trời Chung cư Terra Mi-A ,60,60 kW DC,2,10.7200104,106.6703963,24
Huyện Bình Chánh,Cửa hàng xăng dầu Petrolimex Hồ Chí Minh Số 56,150,150 kW DC,2,10.6525262,106.6548031,60
Huyện Bình Chánh,Cửa hàng xăng dầu Petrolimex Hồ Chí Minh Số 56,60,60 kW DC,2,10.6525262,106.6548031,24
Huyện Bình Chánh,Cửa hàng xăng dầu Hoàng Thái,60,60 kW DC,4,10.7016434,106.5931585,48
Huyện Bình Chánh,Bãi đỗ xe tư nhân Anh Nguyện 2,11,11 kW AC,6,10.7961984,106.579215,13.2
Huyện Bình Chánh,Bãi đỗ xe tư nhân Tân Nhựt,11,11 Kw AC,2,10.7376457,106.5479036,4.4
Huyện Bình Chánh,Bãi đỗ xe tư nhân Tân Nhựt,80,80 kW DC,2,10.7376457,106.5479036,32
Huyện Bình Chánh,Bãi đỗ xe tư nhân XTS 36,11,11 Kw AC,2,10.6620942,106.5673263,4.4
Huyện Bình Chánh,Bãi đỗ xe tư nhân XTS 36,80,80 kW DC,2,10.6620942,106.5673263,32
Huyện Cần Giờ,Cửa hàng xăng dầu Phú Thịnh,60,60 kW DC,2,10.6611169,106.7790322,24
Huyện Cần Giờ,Cửa hàng xăng dầu Petrolimex Hồ Chí Minh Số 69,180,180 kW DC,2,10.616758,106.816033,72
Huyện Cần Giờ,Cửa hàng xăng dầu Petrolimex Hồ Chí Minh Số 69,60,60 kW DC,2,10.616758,106.816033,24
Huyện Cần Giờ,Cửa hàng xăng dầu Phát Tài,60,60 kW DC,4,10.5882395,106.8246445,48
Huyện Cần Giờ,Cửa hàng xăng dầu Châu Văn Vân,60,60 kW DC,2,10.468149,106.8060388,24
Huyện Cần Giờ,Cửa hàng xăng dầu TLP NQTM Đức Thanh,250,250 kW DC,1,10.3954143,106.9160381,50
Huyện Cần Giờ,Cửa hàng xăng dầu TLP NQTM Đức Thanh,60,60 kW DC,4,10.3954143,106.9160381,48
Huyện Cần Giờ,Bãi đỗ xe tư nhân Nguyễn Mạnh Hà - Cần Giờ,60,60 kW DC,4,10.4072228,106.9654233,48
Huyện Cần Giờ,Bãi đỗ xe Nguyễn Thị Cảnh,11,11 Kw AC,8,10.4064716,106.9640273,17.6
Huyện Cần Giờ,Bãi đỗ xe Nguyễn Thị Cảnh,60,60 kW DC,10,10.4064716,106.9640273,120
Huyện Củ Chi,Bãi đỗ xe 54 Đặng Thị Tô,11,11 Kw AC,1,11.0272016,106.4480065,2.2
Huyện Củ Chi,Bãi đỗ xe 54 Đặng Thị Tô,60,60 kW DC,2,11.0272016,106.4480065,24
Huyện Củ Chi,Cửa hàng xăng dầu Tài Lộc Thinh 4,180,180 kW DC,2,10.9832451,106.4605289,72
Huyện Củ Chi,Cửa hàng xăng dầu Tài Lộc Thinh 4,60,60 kW DC,4,10.9832451,106.4605289,48
Huyện Củ Chi,Cửa hàng xăng dầu Tài Lộc 16,180,180 kW DC,2,10.9614506,106.5014875,72
Huyện Củ Chi,Cửa hàng xăng dầu Tài Lộc 16,60,60 kW DC,4,10.9614506,106.5014875,48
Huyện Củ Chi,Bãi đỗ xe Gara Ô tô Trung Kiên,60,60 kW DC,4,10.9847906,106.5205624,48
Huyện Củ Chi,"Cửa hàng xăng dầu PVOIL Số 1, Sài Gòn",60,60 kW DC,6,10.9620685,106.5457472,72
Huyện Củ Chi,Bãi đỗ xe Gara Thành Danh,60,60 kW DC,4,10.9586085,106.5937658,48
Huyện Củ Chi,Bãi đỗ xe Nhà trọ Trường Thọ,11,11 Kw AC,4,11.0916362,106.5132481,8.8
Huyện Củ Chi,Bãi đỗ xe Nhà trọ Trường Thọ,60,60 kW DC,2,11.0916362,106.5132481,24
Huyện Hóc Môn,Cửa hàng xăng dầu Tài Lộc Thinh 5,180,180 kW DC,2,10.8790427,106.5525145,72
Huyện Hóc Môn,Bãi đỗ xe Chú Minh,60,60 kW DC,4,10.8919577,106.5714148,48
Huyện Hóc Môn,Bãi đỗ xe Trần Anh,11,11 Kw AC,4,10.9084099,106.5912473,8.8
Huyện Hóc Môn,Bãi đỗ xe Trần Anh,60,60 kW DC,6,10.9084099,106.5912473,72
Huyện Hóc Môn,Bãi đỗ xe 15 Huỳnh Thị Mài,11,11 Kw AC,1,10.9145321,106.5864128,2.2
Huyện Hóc Môn,Bãi đỗ xe 15 Huỳnh Thị Mài,60,60 kW DC,4,10.9145321,106.5864128,48
Huyện Hóc Môn,Bãi đỗ xe Trần Anh 3,60,60 kW DC,4,10.9126641,106.5942896,48
Huyện Hóc Môn,Bãi đỗ xe Đô Rê Mon,11,11 Kw AC,3,10.9036051,106.5898017,6.6
Huyện Hóc Môn,Bãi đỗ xe Đô Rê Mon,60,60 kW DC,2,10.9036051,106.5898017,24
Huyện Hóc Môn,Bãi đỗ xe tư nhân 108 Đường Song Hành,11,11 Kw AC,1,10.9001015,106.5892651,2.2
Huyện Hóc Môn,Bãi đỗ xe tư nhân 108 Đường Song Hành,60,60 kW DC,4,10.9001015,106.5892651,48
Huyện Hóc Môn,Bãi đỗ xe Tân Thới Nhì 2,11,11 Kw AC,5,10.8904817,106.5841934,11
Huyện Hóc Môn,Bãi đỗ xe Tân Thới Nhì 2,60,60 kW DC,12,10.8904817,106.5841934,144
Huyện Hóc Môn,Bãi đỗ xe Tân Hiệp 18A,11,11 Kw AC,2,10.8943977,106.5916422,4.4
Huyện Hóc Môn,Bãi đỗ xe Tân Hiệp 18A,60,60 kW DC,4,10.8943977,106.5916422,48
Huyện Hóc Môn,Bãi đỗ xe tư nhân - 36/7A Ấp Trung Đông 2,11,11 Kw AC,3,10.9002525,106.609922,6.6
Huyện Hóc Môn,Bãi đỗ xe tư nhân - 36/7A Ấp Trung Đông 2,60,60 kW DC,6,10.9002525,106.609922,72
Huyện Hóc Môn,Bãi đỗ xe tư nhân Tuyết Mai,11,11 Kw AC,2,10.8651795,106.5699693,4.4
Huyện Hóc Môn,Bãi đỗ xe tư nhân Tuyết Mai,60,60 kW DC,8,10.8651795,106.5699693,96
Huyện Hóc Môn,Bãi đỗ xe Nguyễn Văn Bứa,11,11 Kw AC,8,10.8704625,106.5438832,17.6
Huyện Hóc Môn,Bãi đỗ xe Nguyễn Văn Bứa,60,60 kW DC,16,10.8704625,106.5438832,192
Huyện Hóc Môn,Bãi đỗ xe Năm Phát II,11,11 Kw AC,1,10.8695941,106.579862,2.2
Huyện Hóc Môn,Bãi đỗ xe Năm Phát II,60,60 kW DC,6,10.8695941,106.579862,72
Huyện Hóc Môn,Bãi đỗ xe 41/1 Xuân Thới Thượng,60,60 kW DC,4,10.8472666,106.5933071,48
Huyện Hóc Môn,Bãi đỗ xe Gara Trung Chánh,11,11 Kw AC,1,10.8789635,106.5957186,2.2
Huyện Hóc Môn,Bãi đỗ xe Gara Trung Chánh,60,60 kW DC,2,10.8789635,106.5957186,24
Huyện Hóc Môn,Bãi đỗ xe Anh Quốc,11,11 Kw AC,1,10.8705916,106.6080083,2.2
Huyện Hóc Môn,Bãi đỗ xe Anh Quốc,30,30 kW DC,1,10.8705916,106.6080083,6
Huyện Hóc Môn,Bãi đỗ xe Phong Khanh,11,11 Kw AC,4,10.8704685,106.607919,8.8
Huyện Hóc Môn,Bãi đỗ xe Phong Khanh,60,60 kW DC,6,10.8704685,106.607919,72
Huyện Hóc Môn,Bãi đỗ xe Phương Trang,11,11 Kw AC,7,10.8865359,106.6040918,15.4
Huyện Hóc Môn,Bãi đỗ xe Phương Trang,60,60 kW DC,10,10.8865359,106.6040918,120
Huyện Hóc Môn,Bãi đỗ xe tư nhân Phạm Thành Việt,11,11 Kw AC,2,10.8976059,106.6114474,4.4
Huyện Hóc Môn,Bãi đỗ xe tư nhân Phạm Thành Việt,60,60 kW DC,6,10.8976059,106.6114474,72
Huyện Hóc Môn,Bãi đỗ xe LUX 99,11,11 Kw AC,2,10.8833373,106.6188496,4.4
Huyện Hóc Môn,Bãi đỗ xe LUX 99,60,60 kW DC,6,10.8833373,106.6188496,72
Huyện Hóc Môn,Bãi đỗ xe Đông Nam,11,11 Kw AC,2,10.8656817,106.6022265,4.4
Huyện Hóc Môn,Bãi đỗ xe Đông Nam,30,30 kW DC,2,10.8656817,106.6022265,12
Huyện Hóc Môn,Bãi đỗ xe Nguyễn Ảnh Thủ,11,11 Kw AC,2,10.856544,106.6143944,4.4
Huyện Hóc Môn,Bãi đỗ xe Nguyễn Ảnh Thủ,60,60 kW DC,4,10.856544,106.6143944,48
Huyện Hóc Môn,Bãi đỗ xe tư nhân Chú Tám,11,11 Kw AC,1,10.8411638,106.5967126,2.2
Huyện Hóc Môn,Bãi đỗ xe tư nhân Chú Tám,60,60 kW DC,2,10.8411638,106.5967126,24
Huyện Hóc Môn,Bãi đỗ xe YOGA Ngọc Nguyên,11,11 Kw AC,4,10.907326,106.6267102,8.8
Huyện Hóc Môn,Bãi đỗ xe YOGA Ngọc Nguyên,60,60 kW DC,2,10.907326,106.6267102,24
Huyện Hóc Môn,Bãi đỗ xe 380 Huỳnh Thị Na,11,11 Kw AC,5,10.8970675,106.6292274,11
Huyện Hóc Môn,Bãi đỗ xe 380 Huỳnh Thị Na,60,60 kW DC,4,10.8970675,106.6292274,48
Huyện Hóc Môn,Bãi đỗ xe Thuỳ Trâm,11,11 Kw AC,5,10.8997608,106.64548,11
Huyện Hóc Môn,Bãi đỗ xe Nhị Bình 04 - Số 330/05/04 Ấp 1,11,11 Kw AC,2,10.9108446,106.6624051,4.4
Huyện Hóc Môn,Bãi đỗ xe Nhị Bình 04 - Số 330/05/04 Ấp 1,60,60 kW DC,6,10.9108446,106.6624051,72
Huyện Hóc Môn,Bãi đỗ xe tư nhân Nhị Bình 08,11,11 Kw AC,4,10.9145295,106.6727274,8.8
Huyện Hóc Môn,Bãi đỗ xe tư nhân Nhị Bình 08,60,60 kW DC,6,10.9145295,106.6727274,72
Huyện Hóc Môn,Bãi đỗ xe Nhị Bình 15 - Số 319 Nhị Bình,11,11 Kw AC,2,10.9041726,106.6720359,4.4
Huyện Hóc Môn,Bãi đỗ xe Nhị Bình 15 - Số 319 Nhị Bình,60,60 kW DC,4,10.9041726,106.6720359,48
Huyện Hóc Môn,Bãi đỗ xe tư nhân Cường Thảo II,11,11 Kw AC,6,10.9041727,106.672036,13.2
Huyện Hóc Môn,Bãi đỗ xe tư nhân Cường Thảo II,60,60 kW DC,12,10.9041727,106.672036,144
Huyện Hóc Môn,Bãi đỗ xe Cà Phê Gia Long,11,11 Kw AC,4,10.9064097,106.688944,8.8
Huyện Hóc Môn,Bãi đỗ xe Cà Phê Gia Long,60,60 kW DC,6,10.9064097,106.688944,72
Huyện Hóc Môn,Bãi đỗ xe tư nhân Chị Diễm 2,11,11 Kw AC,4,10.9109363,106.6510346,8.8
Huyện Hóc Môn,Bãi đỗ xe tư nhân Chị Diễm 2,60,60 kW DC,8,10.9109363,106.6510346,96
Huyện Hóc Môn,Bãi đỗ xe Bùi Công Trừng,11,11 Kw AC,4,10.913259,106.673344,8.8
Huyện Hóc Môn,Bãi đỗ xe Bùi Công Trừng,80,80 kW DC,6,10.913259,106.673344,96
Huyện Hóc Môn,Bãi đỗ xe tư nhân Bà Điểm,80,60 kW DC,4,10.8411638,106.5967126,64
Huyện Nhà Bè,Bãi đỗ xe Trường Tín,80,11 Kw AC,1,10.6337632,106.735316,16
Huyện Nhà Bè,Bãi đỗ xe Trường Tín,80,60 kW DC,4,10.6337632,106.735316,64
Huyện Nhà Bè,Bãi đỗ xe tư nhân Anh Bình,80,60 kW DC,2,10.6515117,106.7293611,32
Huyện Nhà Bè,Cửa hàng xăng dầu Mipec Anh Huy,60,60 kW DC,4,10.6505836,106.7295491,48
Huyện Nhà Bè,Bãi đỗ xe tư nhân Chị Diễm 4,11,11 Kw AC,5,10.6571742,106.6887408,11
Huyện Nhà Bè,Bãi đỗ xe tư nhân Chị Diễm 4,60,60 kW DC,2,10.6571742,106.6887408,24
Huyện Nhà Bè,Cửa hàng xăng dầu Thuận Khải,60,60 kW DC,4,10.6731696,106.6979514,48
Huyện Nhà Bè,Bãi đỗ xe tư nhân Lê Văn Lương,11,11 Kw AC,9,10.6751953,106.6939803,19.8
Huyện Nhà Bè,Bãi đỗ xe tư nhân Lê Văn Lương,60,60 kW DC,16,10.6751953,106.6939803,192
Huyện Nhà Bè,Gara Anh Mạnh,11,11 Kw AC,1,10.6786262,106.7359893,2.2
Huyện Nhà Bè,Gara Anh Mạnh,60,60 kW DC,2,10.6786262,106.7359893,24
Huyện Nhà Bè,Bãi đỗ xe Thanh Phong Auto Nhà Bè,11,11 Kw AC,2,10.6998008,106.7040864,4.4
Huyện Nhà Bè,Bãi đỗ xe Thanh Phong Auto Nhà Bè,30,30 kW DC,2,10.6998008,106.7040864,12
Huyện Nhà Bè,Chung cư HAGL Gold House A,11,11 Kw AC,3,10.7108769,106.7032967,6.6
Huyện Nhà Bè,Chung cư HAGL Gold House B,11,11 Kw AC,3,10.7108769,106.7032967,6.6
Huyện Nhà Bè,Bãi đỗ xe Cafe Bích Ngọc,11,11 Kw AC,1,10.6748507,106.7500025,2.2
Huyện Nhà Bè,Bãi đỗ xe Cafe Bích Ngọc,80,80 kW DC,2,10.6748507,106.7500025,32
Huyện Nhà Bè,Bãi đỗ xe tư nhân Phạm Hữu Lầu,11,11 Kw AC,1,10.7011897,106.719752,2.2
Huyện Nhà Bè,Bãi đỗ xe tư nhân Phạm Hữu Lầu,60,60 kW DC,6,10.7011897,106.719752,72
Quận một,Bãi đỗ xe Công ty SAFi,60,60 kW DC,2,10.7868147,106.6961415,24
Quận một,Tòa nhà SFC,11,11 Kw AC,1,10.7877159,106.699993,2.2
Quận một,Tòa nhà SFC,60,60 kW DC,2,10.7877159,106.699993,24
Quận một,"Vincom Center Đồng Khởi, Hầm B6",11,11 Kw AC,2,10.7779716,106.7016504,4.4
Quận một,"Vincom Center Đồng Khởi, Hầm B6",80,80 kW DC,2,10.7779716,106.7016504,32
Quận một,"Vincom Center Đồng Khởi, Hầm B6",60,60 kW DC,24,10.7779716,106.7016504,288
Quận một,"Vincom Center Đồng Khởi, Hầm B6",30,30 kW DC,9,10.7779716,106.7016504,54
Quận một,Vincom Center Đồng Khởi - Hầm B5,11,11 Kw AC,4,10.7780283,106.7019909,8.8
Quận một,Vincom Center Đồng Khởi - Hầm B5,60,60 kW DC,4,10.7780283,106.7019909,48
Quận một,Vincom Center Đồng Khởi - Hầm B5,30,30 kW DC,2,10.7780283,106.7019909,12
Quận một,Chung cư Vinhomes Golden River 1,11,11 Kw AC,3,10.7849515,106.709737,6.6
Quận 12,Bãi đỗ xe Tâm Phúc,11,11 Kw AC,4,10.8738856,106.6219931,8.8
Quận 12,Bãi đỗ xe Tâm Phúc,60,60 kW DC,2,10.8738856,106.6219931,24
Quận 12,Bãi đỗ xe tư nhân Thùy Trang,11,11 Kw AC,1,10.889003,106.593253,2.2
Quận 12,Bãi đỗ xe tư nhân Thùy Trang,60,60 kW DC,2,10.889003,106.593253,24
Quận 12,Bãi đỗ xe Tân Thới Hiệp,11,11 Kw AC,4,10.8603672,106.6438673,8.8
Quận 12,Bãi đỗ xe Tân Thới Hiệp,60,60 kW DC,6,10.8603672,106.6438673,72
Quận 12,Bãi đỗ xe S778 Nguyễn Văn Quá,11,11 Kw AC,1,10.8461024,106.6335723,2.2
Quận 12,Bãi đỗ xe S778 Nguyễn Văn Quá,30,30 kW DC,1,10.8461024,106.6335723,6
Quận 12,Bãi đỗ xe Diệu Phát,11,11 Kw AC,2,10.8907028,106.6472383,4.4
Quận 12,Bãi đỗ xe Diệu Phát,60,60 kW DC,2,10.8907028,106.6472383,24
Quận 12,Bãi đỗ xe Chung cư Hiệp Thành,11,11 Kw AC,2,10.88007,106.6476469,4.4
Quận 12,Bãi đỗ xe Chung cư Hiệp Thành,60,60 kW DC,4,10.88007,106.6476469,48
Quận 12,Bãi đỗ xe Minh Phúc,11,11 Kw AC,3,10.8919051,106.6868612,6.6
Quận 12,Bãi đỗ xe Minh Phúc,60,60 kW DC,2,10.8919051,106.6868612,24
Quận 12,Bãi đỗ xe 24E – Thạnh Xuân,11,11 Kw AC,5,10.8644608,106.6741991,11
Quận 12,Bãi đỗ xe 24E – Thạnh Xuân,60,60 kW DC,2,10.8644608,106.6741991,24
Quận 12,Bãi đỗ xe tư nhân Anh Nam 2,60,60 kW DC,4,10.8812315,106.6827168,48
Quận 12,Bãi đỗ xe Bờm Auto,11,11 Kw AC,3,10.8660938,106.6717738,6.6
Quận 12,Bãi đỗ xe Bờm Auto,60,60 kW DC,2,10.8660938,106.6717738,24
Quận 12,Bãi đỗ xe tư nhân Tô Ngọc Vân,60,60 kW DC,4,10.8595145,106.6679555,48
Quận 12,Bãi đỗ xe 437 Hà Huy Giáp,11,11 Kw AC,4,10.8700843,106.677007,8.8
Quận 12,Bãi đỗ xe 437 Hà Huy Giáp,60,60 kW DC,6,10.8700843,106.677007,72
Quận 12,Bãi đỗ xe DBK,11,11 Kw AC,3,10.8604904,106.6811463,6.6
Quận 12,Bãi đỗ xe DBK,60,60 kW DC,2,10.8604904,106.6811463,24
Quận 12,Bãi đỗ xe tư nhân Số 08,11,11 Kw AC,4,10.870554,106.6850482,8.8
Quận 12,Bãi đỗ xe tư nhân Số 08,60,60 kW DC,2,10.870554,106.6850482,24
Quận 12,Bãi đỗ xe An Phú Đông,11,11 Kw AC,4,10.8564607,106.6862923,8.8
Quận 12,Bãi đỗ xe An Phú Đông,60,60 kW DC,2,10.8564607,106.6862923,24
Quận 12,Bãi đỗ xe Auto Phúc Nguyên,11,11 Kw AC,2,10.8559367,106.6858039,4.4
Quận 12,Bãi đỗ xe Auto Phúc Nguyên,60,60 kW DC,2,10.8559367,106.6858039,24
Quận 12,Bãi đỗ xe tư nhân Ân An,11,11 Kw AC,2,10.8571184,106.6871335,4.4
Quận 12,Bãi đỗ xe tư nhân Ân An,60,60 kW DC,2,10.8571184,106.6871335,24
Quận 12,Bãi đỗ xe Thu Hiền,11,11 Kw AC,2,10.8537599,106.6910594,4.4
Quận 12,Bãi đỗ xe Thu Hiền,60,60 kW DC,2,10.8537599,106.6910594,24
Quận 12,Bãi đỗ xe Anh Sơn 6,11,11 Kw AC,2,10.8406288,106.6948671,4.4
Quận 12,Bãi đỗ xe Anh Sơn 6,60,60 kW DC,2,10.8406288,106.6948671,24
Quận 12,Bãi đỗ xe 24H - 331 Vườn Lài,60,60 kW DC,4,10.8488874,106.6957329,48
Quận 12,Bãi đỗ xe FamilyCar,60,60 kW DC,2,10.8507655,106.693186,24
Quận 3,Bãi đỗ xe La Vela Saigon Hotel,150,150 kW DC,2,10.7886708,106.6854708,60
Quận 3,Chung cư Léman Luxury,11,11 Kw AC,3,10.7778617,106.6899343,6.6
