,,10.6360764,10.463041,10.4147399,10.4043338,10.3861486,10.4112185,10.5653379,10.3954565,10.5882243,10.6638591,10.6611169,10.4026334,10.4088365,10.532813,10.616758
,x2 values,106.7919571,106.900447,106.9719106,106.9594851,106.9077793,106.9655024,106.7519914,106.916009,106.8253786,106.7770892,106.7790322,106.9540879,106.9465938,106.767688,106.816033
10.4106298,106.9649589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5903875,106.7893594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.6439375,106.7867656,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10.3961591,106.9250908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.4721125,106.7712031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5979625,106.8593281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.4706625,106.9752031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,10.6360764,10.463041,10.4147399,10.4043338,10.3861486,10.4112185,10.5653379,10.3954565,10.5882243,10.6638591,10.6611169,10.4026334,10.4088365,10.532813,10.616758
,x3 values,106.7919571,106.900447,106.9719106,106.9594851,106.9077793,106.9655024,106.7519914,106.916009,106.8253786,106.7770892,106.7790322,106.9540879,106.9465938,106.767688,106.816033
10.4106298,106.9649589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5903875,106.7893594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.6439375,106.7867656,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
10.3961591,106.9250908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.4721125,106.7712031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.5979625,106.8593281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.4706625,106.9752031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0